key,context,en,sq,it
,,,,
# UI CHROME — messages/*.json,,,,
,,,,
category.cocktails,Tab label — cocktail category,Cocktails,,
category.food,Tab label — food category,Food,,
,,,,
taste.bitter,Cocktail taste tab,Bitter,,
taste.sour,Cocktail taste tab,Sour,,
taste.sweet,Cocktail taste tab,Sweet,,
taste.spicy,Cocktail taste tab,Spicy,,
taste.zero,Cocktail taste tab — no alcohol,No alcohol,,
,,,,
food.pizza,Food tab,Pizza,,
food.burgers,Food tab,Burgers,,
food.sharing,Food tab,Sharing,,
,,,,
pick.label,Eyebrow label on Brothers recommend plaque,Brothers recommend,,
,,,,
pizza_note.bold,Bold prefix in pizza timing notice,Made to order.,,
pizza_note.text,Full pizza timing notice (bold prefix included separately above),Our pizzas come 5 to 7 minutes from the oven. Worth the small wait.,,
,,,,
legend.title,Title of onboarding legend sheet,How to read this menu,,
legend.sub,"Subtitle of legend sheet, \n = line break","We sort by taste, not by name.\nHere is what the marks mean.",,
legend.bitter_name,Legend row — icon label,Bitter,,
legend.bitter_desc,Legend row — right-side descriptor,bitterness,,
legend.sour_name,Legend row — icon label,Sour,,
legend.sour_desc,Legend row — right-side descriptor,sourness,,
legend.sweet_name,Legend row — icon label,Sweet,,
legend.sweet_desc,Legend row — right-side descriptor,sweetness,,
legend.marks_name,Legend row — icon label,Marks,,
legend.marks_desc,Legend row — right-side descriptor,intensity,,
legend.olive_name,Legend row — icon label,Olive,,
legend.olive_desc,Legend row — right-side descriptor,signature ones,,
legend.loved_name,Legend row — icon label,Loved here,,
legend.loved_desc,Legend row — right-side descriptor,bestsellers,,
legend.cta,Button on legend sheet — closes it,Got it,,
,,,,
cart.show_waiter,CartBar button label,Show your waiter,,
cart.open_list,Heading inside the cart sheet,Show this to your waiter,,
cart.keep_browsing,Button inside cart sheet — closes it,Keep browsing,,
cart.total_label,Label above the total amount,Total · Lekë,,
cart.clear,Button inside cart sheet — clears order,Clear order,,
,,,,
pairing.drink_label,"Label above pairing list in cocktail detail sheet (""What this drink loves on the plate:"")",What this drink loves on the plate:,,
pairing.plate_label,"Label above pairing list in food detail sheet (""What this plate loves in a glass:"")",What this plate loves in a glass:,,
,,,,
footer.powered,Footer text at bottom of menu list,powered by Ospitalitta,,
,,,,
# VENUE CONFIG STRINGS — lib/menu-repo.ts,,,,
,,,,
onboarding.prices_note,"Shown at bottom of legend sheet. Venue-specific — depends on country/currency. BB = Lekë, other venues may differ.",Prices in Lekë,,
,,,,
# SECTION LABELS + SUBTITLES — menu_section.i18n,,,,
,,,,
section.bitter.label,Tab label (same as taste.bitter — both needed if DB splits them),Bitter,,
section.bitter.sub,Subtitle shown under the taste tab heading,Grown-up and bittersweet the before-dinner ones,,
section.sour.label,Tab label,Sour,,
section.sour.sub,Subtitle,Bright and sharp wakes you up,,
section.sweet.label,Tab label,Sweet,,
section.sweet.sub,Subtitle,Fruit-forward and easy the crowd-pleasers,,
section.spicy.label,Tab label,Spicy,,
section.spicy.sub,Subtitle,A little heat,,
section.zero.label,Tab label,Zero,,
section.zero.sub,Subtitle,No alcohol same hands same care,,
section.pizza.label,Food tab label,Pizza,,
section.pizza.sub,Subtitle (currently empty for BB — leave blank if none),,,
